load,price,solar
66.29,32.0,0.0
65.14,31.0,0.0
62.0,31.0,0.0
63.31,32.0,0.0
69.2,33.0,0.0
78.02,44.0,0.0
87.66,56.0,2.0
92.03,59.0,19.0
92.77,53.0,58.0
85.02,47.0,123.0
92.91,44.0,185.0
88.43,40.0,225.0
86.73,37.0,228.0
84.41,36.0,193.0
85.79,38.0,129.0
85.7,43.0,58.0
89.52,47.0,12.0
89.67,51.0,0.0
85.16,47.0,0.0
79.89,39.0,0.0
73.21,32.0,0.0
70.63,31.0,0.0
68.93,30.0,0.0
68.24,26.0,0.0
64.27,26.0,0.0
60.74,25.0,0.0
58.49,25.0,0.0
59.04,25.0,0.0
61.92,26.0,0.0
65.03,26.0,0.0
68.66,29.0,4.0
75.49,32.0,33.0
78.38,35.0,90.0
80.1,35.0,159.0
79.28,34.0,224.0
81.53,32.0,259.0
78.26,31.0,250.0
75.38,30.0,202.0
71.45,31.0,132.0
70.38,33.0,60.0
77.48,41.0,14.0
77.98,44.0,1.0
76.6,40.0,0.0
72.36,32.0,0.0
69.08,30.0,0.0
70.78,30.0,0.0
68.33,28.0,0.0
64.98,26.0,0.0
59.54,23.0,0.0
58.23,21.0,0.0
56.7,20.0,0.0
56.73,19.0,0.0
57.8,19.0,0.0
59.0,18.0,0.0
63.94,19.0,5.0
68.46,25.0,34.0
70.79,27.0,90.0
73.71,28.0,163.0
74.69,29.0,228.0
71.1,26.0,263.0
68.82,24.0,256.0
66.68,23.0,208.0
66.03,24.0,138.0
68.16,25.0,64.0
72.1,32.0,15.0
76.2,36.0,1.0
74.5,35.0,0.0
72.6,32.0,0.0
69.91,31.0,0.0
73.4,31.0,0.0
68.11,28.0,0.0
65.18,22.0,0.0
62.58,21.0,0.0
61.48,20.0,0.0
60.18,21.0,0.0
62.04,21.0,0.0
68.09,24.0,0.0
77.71,32.0,0.0
87.9,41.0,7.0
86.05,43.0,43.0
87.93,43.0,108.0
88.82,41.0,187.0
91.14,39.0,258.0
86.31,36.0,294.0
83.05,36.0,284.0
82.59,36.0,231.0
83.89,39.0,153.0
87.63,40.0,72.0
88.61,43.0,18.0
91.35,47.0,2.0
86.14,43.0,0.0
79.72,39.0,0.0
77.28,34.0,0.0
79.25,33.0,0.0
73.84,28.0,0.0
67.95,30.0,0.0
65.72,30.0,0.0
64.78,27.0,0.0
64.5,27.0,0.0
64.56,28.0,0.0
70.31,31.0,0.0
76.81,43.0,0.0
88.36,55.0,7.0
90.73,60.0,43.0
90.72,54.0,107.0
90.1,49.0,185.0
87.04,48.0,252.0
85.68,46.0,287.0
84.08,44.0,275.0
80.15,44.0,222.0
79.7,46.0,145.0
